# France
0,8000000,French,Catholic_Christianity,None
# Iran
8,5000000,Iranian,Shia_Islam,None
# Transjordan
# West_Bank - 764,900 people in 1950
9,688000,Palestinian,Sunni_Islam,None
9,76000,Palestinian,Orthodox_Christianity,None
# China
1,554000000,Chinese,Buddhism,None
# India
2,376000000,Indian,Buddhism,None
# Russia - Total population of Russia 103.39 mil, 10 mil in siberia
# Mainland Russia
3,93390000,Russian,Orthodox_Christianity,None
# Siberia
4,10000000,Siberian,Orthodox_Christianity,None
# United_Kingdom
5,50120000,English,Protestant_Christianity,None
# Japan
6,86440000,Japanese,Buddhism,None
# Syria
12,3612000,Syrian,Sunni_Islam,None
# Victoria 
# 2.04 million
# 	- 0.1% Indigenous
13,2037960,Australian,Protestant_Christianity,None
13,2040,Aboriginal,Protestant_Christianity,None
# New_South_Wales
# 2.76 million
# 	- 1% Indigenous
14,2732400,Australian,Protestant_Christianity,None
14,27600,Aboriginal,Protestant_Christianity,None
# Queensland
# 1.50 million
# 	- 4% Indigenous
15,1440000,Australian,Protestant_Christianity,None
15,60000,Aboriginal,Protestant_Christianity,None
# Western_Australia
# 0.79 million
# 	- 4% Indigenous
16,758400,Australian,Protestant_Christianity,None
16,31600,Aboriginal,Protestant_Christianity,None
# South_Australia_Mediterranean
# 80% population of south aus (random number) = 528,000
# 528,000
# 	- 1% Indigenous
17,522720,Australian,Protestant_Christianity,None
17,5280,Aboriginal,Protestant_Christianity,None
# South_Australia_Desert
# 132,000
# 	- 1% Indigenous
18,130680,Australian,Protestant_Christianity,None
18,1320,Aboriginal,Protestant_Christianity,None
# Tasmania
# 0.21 million
# 	- 0.1% Indigenous
19,209790,Australian,Protestant_Christianity,None
19,210,Aboriginal,Protestant_Christianity,None
